2025-12-07 16:15:17 [Bot-4] Запущен payout 1000..9999; periodic recovery: interval=200, range=100..200, max_spins=100
2025-12-07 16:15:32 [Bot-4] [LOSS] spin 38 payout=1037 roll=27.7280000000 bet=0.00100000 cycle_loss=0.03800000 loss_total=0.03800000
2025-12-07 16:15:33 [Bot-4] [LOSS] spin 39 payout=1038 roll=2.6310000000 bet=0.00100000 cycle_loss=0.03900000 loss_total=0.03900000
2025-12-07 16:15:34 [Bot-4] [LOSS] spin 40 payout=1039 roll=61.2600000000 bet=0.00100000 cycle_loss=0.04000000 loss_total=0.04000000
2025-12-07 16:15:34 [Bot-4] [LOSS] spin 41 payout=1040 roll=49.5750000000 bet=0.00100000 cycle_loss=0.04100000 loss_total=0.04100000
2025-12-07 16:15:34 [Bot-4] [LOSS] spin 42 payout=1041 roll=55.9640000000 bet=0.00100000 cycle_loss=0.04200000 loss_total=0.04200000
2025-12-07 16:15:35 [Bot-4] [LOSS] spin 43 payout=1042 roll=7.4970000000 bet=0.00100000 cycle_loss=0.04300000 loss_total=0.04300000
2025-12-07 16:15:35 [Bot-4] [LOSS] spin 44 payout=1043 roll=9.3660000000 bet=0.00100000 cycle_loss=0.04400000 loss_total=0.04400000
2025-12-07 16:15:36 [Bot-4] [LOSS] spin 45 payout=1044 roll=16.3180000000 bet=0.00100000 cycle_loss=0.04500000 loss_total=0.04500000
2025-12-07 16:15:36 [Bot-4] [LOSS] spin 46 payout=1045 roll=18.9170000000 bet=0.00100000 cycle_loss=0.04600000 loss_total=0.04600000
2025-12-07 16:15:37 [Bot-4] [LOSS] spin 47 payout=1046 roll=90.8550000000 bet=0.00100000 cycle_loss=0.04700000 loss_total=0.04700000
2025-12-07 16:15:37 [Bot-4] [LOSS] spin 48 payout=1047 roll=11.0270000000 bet=0.00100000 cycle_loss=0.04800000 loss_total=0.04800000
2025-12-07 16:15:37 [Bot-4] [LOSS] spin 49 payout=1048 roll=27.9710000000 bet=0.00100000 cycle_loss=0.04900000 loss_total=0.04900000
2025-12-07 16:15:38 [Bot-4] [LOSS] spin 50 payout=1049 roll=87.1480000000 bet=0.00100000 cycle_loss=0.05000000 loss_total=0.05000000
2025-12-07 16:15:38 [Bot-4] [LOSS] spin 51 payout=1050 roll=47.9370000000 bet=0.00100000 cycle_loss=0.05100000 loss_total=0.05100000
2025-12-07 16:15:38 [Bot-4] [LOSS] spin 52 payout=1051 roll=75.7930000000 bet=0.00100000 cycle_loss=0.05200000 loss_total=0.05200000
2025-12-07 16:15:39 [Bot-4] [LOSS] spin 53 payout=1052 roll=23.8110000000 bet=0.00100000 cycle_loss=0.05300000 loss_total=0.05300000
2025-12-07 16:15:39 [Bot-4] [LOSS] spin 54 payout=1053 roll=95.1140000000 bet=0.00100000 cycle_loss=0.05400000 loss_total=0.05400000
2025-12-07 16:15:40 [Bot-4] [LOSS] spin 55 payout=1054 roll=77.6530000000 bet=0.00100000 cycle_loss=0.05500000 loss_total=0.05500000
2025-12-07 16:15:40 [Bot-4] [LOSS] spin 56 payout=1055 roll=50.8550000000 bet=0.00100000 cycle_loss=0.05600000 loss_total=0.05600000
2025-12-07 16:15:40 [Bot-4] [LOSS] spin 57 payout=1056 roll=42.7400000000 bet=0.00100000 cycle_loss=0.05700000 loss_total=0.05700000
2025-12-07 16:15:41 [Bot-4] [LOSS] spin 58 payout=1057 roll=93.8190000000 bet=0.00100000 cycle_loss=0.05800000 loss_total=0.05800000
2025-12-07 16:15:41 [Bot-4] [LOSS] spin 59 payout=1058 roll=15.1090000000 bet=0.00100000 cycle_loss=0.05900000 loss_total=0.05900000
2025-12-07 16:15:41 [Bot-4] [LOSS] spin 60 payout=1059 roll=32.7960000000 bet=0.00100000 cycle_loss=0.06000000 loss_total=0.06000000
2025-12-07 16:15:42 [Bot-4] [LOSS] spin 61 payout=1060 roll=57.0530000000 bet=0.00100000 cycle_loss=0.06100000 loss_total=0.06100000
2025-12-07 16:15:43 [Bot-4] [LOSS] spin 62 payout=1061 roll=11.5230000000 bet=0.00100000 cycle_loss=0.06200000 loss_total=0.06200000
2025-12-07 16:15:43 [Bot-4] [LOSS] spin 63 payout=1062 roll=35.0490000000 bet=0.00100000 cycle_loss=0.06300000 loss_total=0.06300000
